timestamp,city,aqi,wind_speed,humidity
2025-03-25 17:01:38.060171+0700,Hà Nội,195,23.5 km/h,38%
2025-03-25 18:01:39.426846+0700,Hà Nội,195,24.9 km/h,45%
2025-03-25 19:02:09.964818+0700,Hà Nội,190,23.2 km/h,46%
2025-03-25 20:07:36.664526+0700,Hà Nội,174,23.7 km/h,62%
2025-03-25 21:01:44.444296+0700,Hà Nội,179,23.7 km/h,62%
2025-03-25 22:01:44.303233+0700,Hà Nội,158,20.8 km/h,68%
2025-03-26 00:01:41.222275+0700,Hà Nội,110,20.1 km/h,75%
2025-03-26 01:01:44.671624+0700,Hà Nội,106,18.8 km/h,78%
2025-03-26 02:01:35.146493+0700,Hà Nội,102,14.5 km/h,79%
2025-03-26 03:01:34.710610+0700,Hà Nội,97,13.8 km/h,83%
2025-03-26 04:01:32.318455+0700,Hà Nội,105,10.0 km/h,85%
2025-03-26 05:01:38.002161+0700,Hà Nội,107,9.3 km/h,87%
2025-03-26 06:01:33.992583+0700,Hà Nội,117,9.3 km/h,89%
2025-03-26 07:04:40.401074+0700,Hà Nội,137,8.4 km/h,91%
2025-03-26 08:28:55.014743+0700,Hà Nội,165,10.0 km/h,76%
2025-03-26 09:27:23.169810+0700,Hà Nội,169,9.7 km/h,64%
2025-03-26 10:11:44.619523+0700,Hà Nội,179,10.3 km/h,55%
2025-03-26 11:01:37.919150+0700,Hà Nội,175,10.3 km/h,55%
2025-03-26 12:01:41.420335+0700,Hà Nội,180,11.6 km/h,46%
2025-03-26 13:01:52.350751+0700,Hà Nội,180,12.7 km/h,39%
2025-03-26 14:01:47.914379+0700,Hà Nội,179,15.9 km/h,34%
2025-03-26 15:01:48.246843+0700,Hà Nội,181,21.6 km/h,48%
2025-03-26 16:01:54.493149+0700,Hà Nội,183,26.4 km/h,50%
2025-03-26 17:01:42.755698+0700,Hà Nội,170,24.6 km/h,64%
2025-03-26 18:01:35.480853+0700,Hà Nội,161,23.2 km/h,69%
2025-03-26 19:01:52.572956+0700,Hà Nội,155,18.5 km/h,72%
2025-03-26 20:08:48.148261+0700,Hà Nội,153,20.3 km/h,74%
2025-03-26 21:01:55.089758+0700,Hà Nội,162,20.3 km/h,74%
2025-03-26 22:01:59.803362+0700,Hà Nội,162,22.0 km/h,79%
